"name","destination","chain_id","res_partner_id","categ_id"
"CLUB AMIGO MAYANABO","SANTA LUCIA","CUBANACAN HOTELES","CLUB AMIGO MAYANABO","Hotel"
"CLUB KAREY","VARADERO","ISLAZUL","CLUB KAREY","Hotel"
"CLUB TROPICAL","VARADERO","ISLAZUL","CLUB TROPICAL","Hotel"
"COLINA","VEDADO","ISLAZUL","COLINA","Hotel"
"COLON","CAMAGUEY CITY","ISLAZUL","COLON","Hotel"
"COLONIAL CAYO COCO","CAYO COCO","CUBANACAN HOTELES","COLONIAL CAYO COCO","Hotel"
"COMENDADOR","OLD HAVANA","HABAGUANEX S.A.","COMENDADOR","Hotel"
"HOTEL COMODORO","MIRAMAR","CUBANACAN HOTELES","HOTEL COMODORO","Hotel"
"CONDE DE VILLANUEVA","OLD HAVANA","HABAGUANEX S.A.","CONDE DE VILLANUEVA","Hotel"
"COPACABANA","MIRAMAR","CUBANACAN HOTELES","COPACABANA","Hotel"
"COSTA MORENA","SANTIAGO DE CUBA","ISLAZUL","COSTA MORENA","Hotel"
"DEAUVILLE","OLD HAVANA","GRAN CARIBE","DEAUVILLE","Hotel"
"DON LINO","GUARDALAVACA","ISLAZUL","DON LINO","Hotel"
"DOS MARES","VARADERO","ISLAZUL","DOS MARES","Hotel"
"EL BOSQUE","MIRAMAR","GAVIOTA HOTELES","EL BOSQUE","Hotel"
"VILLA EL BOSQUE","HOLGUIN CITY","ISLAZUL","VILLA EL BOSQUE","Hotel"
"EL CASTILLO","BARACOA","GAVIOTA HOTELES","EL CASTILLO","Hotel"
"ELGUEA","CORRALILLO","ISLAZUL","ELGUEA","Hotel"
"EUROSTARS CAYO SANTA MARIA","CAYO SANTA MARIA","HOTUSA HOTELS","EUROSTARS CAYO SANTA MARIA","Hotel"
"FARO LUNA","CIENFUEGOS","GRAN CARIBE","FARO LUNA","Hotel"
"FINCA MA. DOLORES","TRINIDAD","CUBANACAN HOTELES","FINCA MA. DOLORES","Hotel"
"FLORIDA","OLD HAVANA","HABAGUANEX S.A.","FLORIDA","Hotel"
"FLORIDA CAMAGUEY","FLORIDA TOWN","ISLAZUL","FLORIDA CAMAGUEY","Hotel"
"GRAN CLUB SANTA LUCIA","SANTA LUCIA","CUBANACAN HOTELES","GRAN CLUB SANTA LUCIA","Hotel"
"GRAN HOTEL","CAMAGUEY CITY","ISLAZUL","GRAN HOTEL","Hotel"
"GUACANAYABO","MANZANILLO","ISLAZUL","GUACANAYABO","Hotel"
"GUANTANAMO","GUANTANAMO CITY","ISLAZUL","GUANTANAMO","Hotel"
"H10 HABANA PANORAMA","MIRAMAR","H10 HOTELS","H10 HABANA PANORAMA","Hotel"
"HABANA 612","","","HABANA 612","Hotel"
"HABANA RIVIERA","VEDADO","GRAN CARIBE","HABANA RIVIERA","Hotel"
"HACIENDA EL CANEY","SANTIAGO DE CUBA","GAVIOTA HOTELES","HACIENDA EL CANEY","Hotel"
"HANABANILLA","HANABANILLA","ISLAZUL","HANABANILLA","Hotel"
"HERRADURA","VARADERO","ISLAZUL","HERRADURA","Hotel"
"HOSTAL 1511","BARACOA","GAVIOTA HOTELES","HOSTAL 1511","Hotel"
"HOSTAL DEL RIJO","SANCTI SPIRITUS CITY","ISLAZUL","HOSTAL DEL RIJO","Hotel"
"HOSTAL VALENCIA","OLD HAVANA","HABAGUANEX S.A.","HOSTAL VALENCIA","Hotel"
