"name","destination","chain_id","res_partner_id","categ_id"
"VILLA EL SALTON","SIERRA MAESTRA","CUBANACAN HOTELES","VILLA EL SALTON","Hotel"
"VILLA EL YAREY","GRANMA","SERVIMED","VILLA EL YAREY","Hotel"
"VILLA GAVIOTA CABO SAN ANTONIO","GUANAHACABIBES","GAVIOTA HOTELES","VILLA GAVIOTA CABO SAN ANTONIO","Hotel"
"VILLA GAVIOTA CAYO COCO","CAYO COCO","GAVIOTA HOTELES","VILLA GAVIOTA CAYO COCO","Hotel"
"VILLA GAVIOTA SANTIAGO DE CUBA","SANTIAGO DE CUBA CITY","GAVIOTA HOTELES","VILLA GAVIOTA SANTIAGO DE CUBA","Hotel"
"VILLA GUAJIMICO","CIENFUEGOS","CUBAMAR","VILLA GUAJIMICO","Hotel"
"VILLA GUAMA","CIENAGA DE ZAPATA","CUBANACAN HOTELES","VILLA GUAMA","Hotel"
"VILLA ISLA DE LA JUVENTUD","ISLA DE LA JUVENTUD","","VILLA ISLA DE LA JUVENTUD","Hotel"
"VILLA LA GRANJITA","SANTA CLARA CITY","CUBANACAN HOTELES","VILLA LA GRANJITA","Hotel"
"VILLA LA MAR","VARADERO","ISLAZUL","VILLA LA MAR","Hotel"
"VILLA LAGUNA GRANDE","GUANAHACABIBES","","VILLA LAGUNA GRANDE","Hotel"
"VILLA LAS BRUJAS","CAYO LAS BRUJAS","GAVIOTA HOTELES","VILLA LAS BRUJAS","Hotel"
"VILLA LINDAMAR","CAYO LARGO","GRAN CARIBE","VILLA LINDAMAR","Hotel"
"VILLA LOS PINOS","EASTERN BEACHES","GRAN CARIBE","VILLA LOS PINOS","Hotel"
"VILLA MAGUANA","BARACOA","GAVIOTA HOTELES","VILLA MAGUANA","Hotel"
"VILLA MARINERA","CAYO LARGO","GRAN CARIBE","VILLA MARINERA","Hotel"
"VILLA MEGANO","EASTERN BEACHES","MINFAR","VILLA MEGANO","Hotel"
"VILLA PINARES DE MAYARI","PINARES DE MAYARI","GAVIOTA HOTELES","VILLA PINARES DE MAYARI","Hotel"
"VILLA SAN JOSE DEL LAGO","YAGUAJAY","ISLAZUL","VILLA SAN JOSE DEL LAGO","Hotel"
"VILLA SANTO DOMINGO","GRANMA","ISLAZUL","VILLA SANTO DOMINGO","Hotel"
"VILLA SOLEDAD","CAYO LARGO","GRAN CARIBE","VILLA SOLEDAD","Hotel"
"VILLA SOROA","SOROA","CUBANACAN HOTELES","VILLA SOROA","Hotel"
"VILLA TROPICO","JIBACOA","GRAN CARIBE","VILLA TROPICO","Hotel"
"VILLA YAGUANABO","CIENFUEGOS","ISLAZUL","VILLA YAGUANABO","Hotel"
"VILLAS MIRADOR DEL MAR","EASTERN BEACHES","ISLAZUL","VILLAS MIRADOR DEL MAR","Hotel"
"VILLAS TARARA","EASTERN BEACHES","CIMEX","VILLAS TARARA","Hotel"
"VILLA TORTUGA","VARADERO","GRAN CARIBE","VILLA TORTUGA","Hotel"
"VUELTABAJO","PINAR DEL RIO CITY","ISLAZUL","VUELTABAJO","Hotel"
"XANADU MANSION","VARADERO","VARADERO GOLF COURSE","XANADU MANSION","Hotel"
"ZAZA","SANCTI SPIRITUS CITY","ISLAZUL","ZAZA","Hotel"
