name,categ_id
PANAMERICANO,Hotel
PARADISUS PRINCESA DEL MAR,Hotel
PARADISUS RIO DE ORO,Hotel
PARADISUS VARADERO,Hotel
PARK VIEW,Hotel
PASACABALLO,Hotel
PASEO HABANA,Hotel
PERLA DEL MAR,Hotel
PERNIK,Hotel
PESTANA CAYO COCO,Hotel
PINAR DEL RIO,Hotel
PLAYA BLANCA,Hotel
PLAYA CALETA,Hotel
PLAYA CAYO SANTA MARIA,Hotel
PLAYA COCO,Hotel
PLAYA COSTA VERDE,Hotel
PLAYA GIRON,Hotel
PLAYA LARGA,Hotel
PLAYA PESQUERO,Hotel
PLAZA,Hotel
HOSTAL PLAZA,Hotel
PLAZA CAMAGUEY,Hotel
PLAZA BARACOA,Hotel
PORTO SANTO,Hotel
PUERTO PRINCIPE,Hotel
PULLMAN,Hotel
PUNTA BLANCA,Hotel
PUNTA LA CUEVA,Hotel
PUNTARENA,Hotel
QUINTA AVENIDA HABANA,Hotel
RANCHO CLUB,Hotel
RANCHO EL TESORO,Hotel
RANCHO HATUEY,Hotel
RANCHO LUNA,Hotel
RANCHO SAN VICENTE,Hotel
RAQUEL,Hotel
RIO MIEL,Hotel
RIU PLAYA TURQUESA,Hotel
RIU VARADERO,Hotel
ROC ARENAS DORADAS,Hotel
ROC BARLOVENTO,Hotel
ROC PRESIDENTE,Hotel
ROYAL HICACOS,Hotel
ROYALTON,Hotel
ROYALTON CAYO SANTA MARIA,Hotel
SAINT JOHN'S,Hotel
SAN ALEJANDRO,Hotel
SAN BASILIO,Hotel
SAN JUAN,Hotel
SANTA CLARA LIBRE,Hotel
SANTA ISABEL,Hotel
SANTIAGO HABANA,Hotel
SARATOGA,Hotel
SIERRA MAESTRA,Hotel
SOL CAYO COCO,Hotel
SOL CAYO GUILLERMO,Hotel
SOL CAYO LARGO,Hotel
SOL CAYO SANTA MARIA,Hotel
SOL PALMERAS,Hotel
SOL PELICANO,Hotel
SOL RIO DE LUNA Y MARES,Hotel
SOL SIRENAS - CORAL,Hotel
SOTAVENTO,Hotel
SUNBEACH,Hotel
TARARACO,Hotel
TEJADILLO,Hotel
TELEGRAFO,Hotel
TERRAL,Hotel
TROPICOCO,Hotel
TRYP CAYO COCO,Hotel
TRYP HABANA LIBRE,Hotel
TULIPAN,Hotel
BE LIVE TURQUESA,Hotel
TUXPAN,Hotel
VARAZUL,Hotel
VEDADO,Hotel
VELASCO,Hotel
VERSALLES,Hotel
VICTORIA,Hotel
VILLA AGUAS CLARAS,Hotel
VILLA BACURANAO,Hotel
VILLA BAYAMO,Hotel
VILLA CABURNI,Hotel
VILLA CAYO SAETIA,Hotel
VILLA COJIMAR,Hotel
VILLA CORAL,Hotel
VILLA CUBA,Hotel
VILLA EL SALTON,Hotel
VILLA EL YAREY,Hotel
VILLA GAVIOTA CABO SAN ANTONIO,Hotel
VILLA GAVIOTA CAYO COCO,Hotel
VILLA GAVIOTA SANTIAGO DE CUBA,Hotel
VILLA GUAJIMICO,Hotel
VILLA GUAMA,Hotel
VILLA ISLA DE LA JUVENTUD,Hotel
VILLA LA GRANJITA,Hotel
VILLA LA MAR,Hotel
VILLA LAGUNA GRANDE,Hotel
VILLA LAS BRUJAS,Hotel
VILLA LINDAMAR,Hotel
VILLA LOS PINOS,Hotel
VILLA MAGUANA,Hotel
VILLA MARINERA,Hotel
VILLA MEGANO,Hotel
VILLA PINARES DE MAYARI,Hotel
VILLA SAN JOSE DEL LAGO,Hotel
VILLA SANTO DOMINGO,Hotel
VILLA SOLEDAD,Hotel
VILLA SOROA,Hotel
VILLA TROPICO,Hotel
VILLA YAGUANABO,Hotel
VILLAS MIRADOR DEL MAR,Hotel
VILLAS TARARA,Hotel
VILLA TORTUGA,Hotel
VUELTABAJO,Hotel
XANADU MANSION,Hotel
ZAZA,Hotel
